%iy;id;it;imin;Q*;QH;QE;Qs;Qf;Wind;RH;Td;press;rain;Kdn;snow;ldown;fcld;wuh;xsmd;lai_hr;Kdiff;Kdir;Wd
2022;203;0;0;-999;-999;-999;-999;-999;0.7;55;27.3;100.03;0;0;0;398;0.6;-999;-999;-999;0;0;142
2022;203;1;0;-999;-999;-999;-999;-999;1;56;27;100.02;0;0;0;401;0.67;-999;-999;-999;0;0;198
2022;203;2;0;-999;-999;-999;-999;-999;0.8;56;26.4;100.01;0;0;0;404;0.71;-999;-999;-999;0;0;320
2022;203;3;0;-999;-999;-999;-999;-999;1.2;58;26.1;100.03;0;0;0;397;0.15;-999;-999;-999;0;0;7
2022;203;4;0;-999;-999;-999;-999;-999;1.6;61;25.6;100.03;0;0;0;391;0.14;-999;-999;-999;0;0;33
2022;203;5;0;-999;-999;-999;-999;-999;1.9;61;25.6;100.05;0;0;0;388;0.07;-999;-999;-999;0;0;40
2022;203;6;0;-999;-999;-999;-999;-999;1.2;60;26.2;100.05;0;38;0;386;0.12;-999;-999;-999;20;18;36
2022;203;7;0;-999;-999;-999;-999;-999;1.2;55;27.1;100.06;0;166;0;385;0.13;-999;-999;-999;58;108;66
2022;203;8;0;-999;-999;-999;-999;-999;1.5;49;28.9;100.1;0;326;0;401;0.06;-999;-999;-999;85;241;106
2022;203;9;0;-999;-999;-999;-999;-999;1.6;42;31;100.1;0;453;0;410;0.07;-999;-999;-999;100;353;122
2022;203;10;0;-999;-999;-999;-999;-999;1.9;39;32.5;100.09;0;621;0;419;0.06;-999;-999;-999;128;493;124
2022;203;11;0;-999;-999;-999;-999;-999;2.2;37;33.8;100;0;726;0;423;0.26;-999;-999;-999;137;589;142
2022;203;12;0;-999;-999;-999;-999;-999;1.8;34;34.9;99.96;0;774;0;430;0.25;-999;-999;-999;133;641;165
2022;203;13;0;-999;-999;-999;-999;-999;1.2;32;35.9;99.92;0;826;0;432;0.33;-999;-999;-999;142;684;189
2022;203;14;0;-999;-999;-999;-999;-999;0.9;30;36.7;99.85;0;778;0;437;0.29;-999;-999;-999;157;621;208
2022;203;15;0;-999;-999;-999;-999;-999;0.6;29;37.4;99.81;0;594;0;439;0.3;-999;-999;-999;240;354;180
2022;203;16;0;-999;-999;-999;-999;-999;1.2;27;37.8;99.75;0;548;0;439;0.48;-999;-999;-999;151;397;164
2022;203;17;0;-999;-999;-999;-999;-999;1.4;27;37.7;99.72;0;404;0;439;0.86;-999;-999;-999;138;266;200
2022;203;18;0;-999;-999;-999;-999;-999;1.2;26;36.9;99.83;0;125;0;440;0.94;-999;-999;-999;93;32;216
2022;203;19;0;-999;-999;-999;-999;-999;1.3;34;35.4;99.82;0;94;0;422;0.82;-999;-999;-999;76;18;132
2022;203;20;0;-999;-999;-999;-999;-999;2;29;35.1;99.85;0;23;0;411;0.98;-999;-999;-999;20;3;144
2022;203;21;0;-999;-999;-999;-999;-999;1.7;36;31.8;99.92;0;0;0;409;0.98;-999;-999;-999;0;0;163
2022;203;22;0;-999;-999;-999;-999;-999;1.7;41;29.9;99.96;0;0;0;400;0.88;-999;-999;-999;0;0;187
2022;203;23;0;-999;-999;-999;-999;-999;2.1;57;28.1;99.87;0;0;0;393;0.96;-999;-999;-999;0;0;159
